  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
     39924,    196,     65.989,    -24.678,    101.463,  -1888,     54,   -642,   -325, -11214,   -217,     35,   1725,  -1907,   3095
     39925,    196,     61.526,    -20.743,    106.129,  -2019,    143,   -366,   -337, -11209,   -294,   -115,   1862,  -1720,   3095
     39926,    197,     56.911,    -17.952,    109.673,  -2027,    113,   -157,   -322, -11220,   -226,    -57,   1963,  -1429,   3095
     39927,    196,     52.223,    -16.014,    112.378,  -1999,     88,      0,   -326, -11232,   -265,    -21,   2014,  -1144,   3095
     39928,    196,     47.542,    -14.585,    114.588,  -1980,     93,     75,   -327, -11248,   -251,    -35,   1898,   -908,   3095
     39929,    195,     42.972,    -13.571,    116.402,  -1992,     69,    147,   -340, -11257,   -232,    -35,   1855,   -811,   3096
     39930,    198,     38.323,    -12.790,    117.997,  -1995,     75,    273,   -328, -11268,   -275,    -14,   1645,   -527,   3096
     39931,    198,     33.627,    -12.168,    119.469,  -1958,     86,    457,   -330, -11285,   -250,     28,   1429,   -346,   3095
     39932,    197,     28.809,    -11.734,    120.822,  -1855,     56,    676,   -349, -11304,   -253,     86,   1169,   -111,   3096
     39933,    199,     23.936,    -11.390,    122.094,  -1661,     84,    886,   -340, -11337,   -269,     93,    902,    -34,   3096
     39934,    196,     18.973,    -11.190,    123.304,  -1360,     63,   1031,   -343, -11377,   -247,    100,    548,    -41,   3096
     39935,    193,     13.982,    -11.111,    124.464,   -986,     72,   1082,   -339, -11423,   -248,     93,    281,    -76,   3096
     39936,    198,      9.040,    -11.277,    125.584,   -630,     58,    966,   -342, -11455,   -249,    158,     28,   -138,   3096
     39937,    196,      4.272,    -11.710,    126.696,   -359,     68,    793,   -338, -11469,   -250,    136,   -180,   -298,   3095
     39938,    194,      0.367,    -12.466,    127.850,   -238,     46,    652,   -324, -11476,   -246,    143,   -245,   -430,   3097
     39939,    196,     -5.474,    -13.584,    129.177,   -118,     29,    408,   -326, -11473,   -251,    179,   -512,   -603,   3097
     39940,    197,    -10.836,    -14.784,    130.667,   -105,     35,    193,   -335, -11456,   -261,    172,   -548,   -888,   3095
     39941,    195,    -16.432,    -16.215,    132.394,   -111,     -5,     30,   -334, -11430,   -260,    165,   -671,  -1075,   3097
     39942,    195,    -21.920,    -17.884,    134.335,   -130,      8,    -80,   -326, -11411,   -269,    208,   -584,  -1311,   3095
     39943,    197,    -27.272,    -19.966,    136.447,   -111,    -17,   -220,   -331, -11397,   -264,    179,   -469,  -1616,   3094
     39944,    195,    -32.573,    -22.472,    138.493,   -127,    -34,   -380,   -347, -11376,   -266,     64,   -353,  -1852,   3096
     39945,    192,    -38.395,    -25.717,    140.565,   -190,    -15,   -577,   -344, -11362,   -257,     64,    -50,  -2018,   3096
     39946,    198,    -45.396,    -29.859,    143.615,   -352,     37,   -825,   -344, -11344,   -262,     64,    166,  -2185,   3095
